目标编号,母任务项,任务编号,任务项,子任务编号,具体任务,执行责任人 (人员 ),起始时间,截止时间,任务负责人（负责拆解任务到执行者）,状态,遗留事项,本周进度,下一步计划,上周任务进度
G-002,T-011 小肠胶囊量产出货准备与供应链建设,T-011-02,T-011-02 量产出货准备：各地挂网,02A,完成各省市自治区的小肠胶囊挂网工作,季强,2026-01-01,2026-12-31,"钱玉炀
季强",进行中,,,,"6.5号挂网最新进展：
1.已挂网省份：湖北、安徽、海南、广西、广东、贵州、江苏、甘肃省、内蒙古、黑龙江、湖南、山东、重庆、辽宁、河南、吉林、陕西、宁夏

2.已提交待审核：江西（本周修改信息后重新提交）、四川（审核结果是：提交的省份价格证明的数量不满足5个要求，原因可能是有的省份的挂网数据并未同步至四川，本次修改后提交了12个省市的挂网数据，目前审核中）、新疆（本周新增提交，审核中）；

3.已提交需医院协助省份：浙江、青海、山西、北京、云南、福建

4.推进中的省份：暂无

5.需等待的省份：河北省（挂网限价为4977）"
G-002,T-011 小肠胶囊量产出货准备与供应链建设,T-011-03,T-011-03 量产出货准备：浙江厂房受托生产,03A,浙江厂房受托生产开办,"贺晓琴,姜宇,汪蓉",2026-01-01,2026-05-31,"吴应海
单春燕",进行中,"1、批记录核对归档：
1）浙江和江苏势通两地检验记录（含理化、微生物）资料关闭及共同归档；
2）受托产品的江苏留样实物生产及留样记录关闭；
2、部分设备、工装调整方案关闭：
1）姚庄照度计（涉及闪烁时长、照度项）可行性及备选借用南通设备方案；",,,
G-002,T-011 小肠胶囊量产出货准备与供应链建设,T-011-04,T-011-04 原材料备料、降低采购成本、1+1 供应商准备、库存优化,04A,胶囊、记录仪（含腰带、马甲单元总成）、阅片软件原材料备料、成本控制、1+1供应商准备，库存合理,冉彦荷,2026-01-01,2026-12-31,吴应海,进行中,锂复合电池（CR09880F）不合格6颗已补发，待下周一到货后完成请检入库,,,"1. 胶囊原材料到货及检验检验进度跟进（已完成锂复合电池、吸塑盒的备料采购及入库）；
2. 原材料采购计划完成情况更新，确保满足后续生产计划；
3. 完成两次采购质量技术要求技术文件评审；
4. 进行光学前盖镀膜、诊疗床供应商调研筛选，及时对接研发沟通。"
G-002,T-011 小肠胶囊量产出货准备与供应链建设,T-011-04,T-011-04 原材料备料、降低采购成本、1+1 供应商准备、库存优化,04B,鸿禾电子及鸿之禾原材料备料、成本控制、1+1供应商准备，库存合理,汪顺平,2026-01-01,2026-12-31,吴应海,进行中,嘉立创测试打版物料待寄出,,,
G-002,T-011 小肠胶囊量产出货准备与供应链建设,T-011-05,T-011-05 自动化产线搭建,05A,胶囊自动化产线搭建,汪晓华,2026-04-01,2026-12-31,"吴应海
汪晓华",进行中,无合格样品做切割,,,1.激光切割设备：①卓达完成样品（元器件齐全不合格品）切割，通过显微镜检查断面基本无短路，切割尺寸符合装配要求（试装）；6月9日输出初步方案（采用人工上下料，双工位）；②静海精光：厂家已收到光板样品，待切割；③快刻智能：已与厂家沟通好产品细节，待发货样品（元器件齐全）切割后做初步方案。                                                                         2. 激光焊接设备：6月2日初步方案交流（待优化事项：①进出料方向：由后进前出调整为左进右出；②上料治具采用托盘型式，只需更换上料治具，治具每个巢穴对应安装一片磁铁；③考虑双头焊接，增加翻转工位；④下料方式：由皮带输送改为三轴模组放入治具；⑤夹取胶囊外壳位置，夹取材料不易损伤外壳，夹爪力能够调节显示） ；6月9日出优化方案。                                                                                   3.  镜头装配点胶一体设备：①与苏州仕金智能线上交流，明确了工艺和技术要求，厂家反馈能做，建议需要带样品公司去面谈；②苏州辰晖雅：作了初步交流，同时也了解工艺和技术要求，6月8日在详细沟通；③苏州特尔信现场交流后反馈技术风险高，没能力做；②新梅赛智能、浙江迈伺特、苏州志沃不承接非标设备；                 
G-002,T-012 小肠胶囊市场拓展与销售目标推进,T-012-01,T-012-01 友谊国疗临采进院,01A,,,2026-03-29,2026-05-01,"胡福海
钱玉炀",,,,,
G-002,T-012 小肠胶囊市场拓展与销售目标推进,T-012-02,T-012-02 销售目标：医院拓展 KPI（全景小肠胶囊）,02A,,,2026-01-01,2026-12-31,"王德君
刘静",,,,,
G-002,T-012 小肠胶囊市场拓展与销售目标推进,T-012-03,T-012-03 销售目标：医院拓展 KPI（小肠胶囊）,03A,,,2026-01-01,2026-12-31,"王德君
刘静",,,,,
G-002,T-012 小肠胶囊市场拓展与销售目标推进,T-012-04,T-012-04 非洲、埃及远程胶囊对接演示准备,04A,,,2026-03-29,2026-05-01,"关晖
吴静璇",,,,,
G-002,T-013 远程胶囊检查服务试点与用户流程建设,T-013-01,T-013-01 员工亲属远程胶囊检查福利首批：服务流程与医院路径锁定,01A,,,2026-03-29,2026-05-15,"刘静
钱玉炀",,,,,
G-002,T-013 远程胶囊检查服务试点与用户流程建设,T-013-02,T-013-02 员工亲属远程胶囊检查福利首批：首批实施与复盘,02A,,,2026-05-15,2026-05-31,刘静,,,,,
G-002,T-013 远程胶囊检查服务试点与用户流程建设,T-013-03,T-013-03 智能网联产品流程中用户信息搜集全流程方案,03A,,,2026-04-02,2026-06-30,"关晖
吴静璇",,,,,
G-002,T-014 胶囊机器人创新学院建设与指南发布,T-014-01,T-014-01 胶囊机器人创新学院培训规划,01A,,,2026-05-01,2026-10-31,"王德君
关晖
钱玉炀",,,,,
G-002,T-014 胶囊机器人创新学院建设与指南发布,T-014-02,T-014-02 胶囊机器人创新学院论坛规划,02A,,,2026-05-01,2026-10-31,"王德君
关晖
钱玉炀",,,,,
G-002,T-014 胶囊机器人创新学院建设与指南发布,T-014-03,T-014-03 指南发布,03A,,,2026-05-01,2026-10-31,"胡峰
钱玉炀",,,,,
G-002,T-015 舆情监测系统建设与危机应对机制建立,T-015-01,T-015-01 舆情监测系统上线 + 危机应对机制建立,01A,,,2026-04-02,2026-12-31,"关晖
吴静璇",,,,,
G-003,T-016 融资与投资推进统筹,T-016-01,T-016-01 融资与投资推进统筹,01A,,,2026-01-01,2026-12-31,王德君,,,,,
G-003,T-017 成都体内微型机器人研究院落地与合作平台建设,T-017-01,T-017-01 成都体内微型机器人研究院落地，联合华西胡兵（国家中心、国家消化重点实验室可挂牌）,01A,,,2026-03-01,2026-12-31,"王德君
万军",,,,,
G-002,T-033 北京消化论坛,T-033-01,T-033-01 参会方案落实；,01A,,,,,胡福海,,,,,
G-004,T-018 年度人员补充与组织配置推进,T-018-01,T-018-01 年度人员补充指标（Q2/Q3/Q4拆分）,01A,年度招聘任务月度执行计划,苏慧颖,2026-06-01,2026-12-31,陈俊伊,未启动,,,,
G-004,T-019 北京公司季度招聘计划推进,T-019-01,T-019-01 北京公司季度招聘计划（Q2/Q3/Q4拆分）,01A,北京公司月度招聘执行计划,苏慧颖,2026-05-25,2026-06-25,陈俊伊,未启动,,,,
G-004,T-020 转化技术支持部筹建推进,T-020-01,T-020-01 转化技术支持部筹建，地点 base 北京,01A,,,2026-04-01,2026-12-31,"钱玉炀
陈俊伊",,,,,
G-004,T-021 北京公司年度重点工作梳理,T-021-01,T-021-01 北京公司年度重点工作对齐与梳理,01A,,,2026-01-01,2026-12-31,胡峰,,,,,
G-004,T-022 投资者关系部年度重点工作梳理,T-022-01,T-022-01 投资者关系部年度重点工作对齐与梳理,01A,,,2026-01-01,2026-12-31,"关晖
吴静璇",,,,,
G-004,T-023 企业文化活动与公共关系礼品规划,T-023-01,T-023-01 科技文化节与“势不可挡”年度项目评比,01A,,,2026-01-01,2026-11-30,陶雅静,,,,,
G-004,T-023 企业文化活动与公共关系礼品规划,T-023-02,T-023-02 福利/公共关系礼品规划与执行：按照节日进行规划,02A,,,2026-01-01,2026-12-31,陶雅静,,,,,
G-004,T-024 中层干部培训体系建设与实施,T-024-01,T-024-01 中层干部周期培训计划制定与实施,01A,,,2026-04-01,2026-09-30,"陶雅静
陈俊伊",,,,,
G-004,T-025 数字化办公系统切换与资产管理,T-025-01,T-025-01 数字与信息中心：OA 本地化企业微信系统切换,01A,完成小程序上线后客户服务承接机制的设计,季强,2026-04-01,2026-09-30,"钱玉炀
季强",进行中,,,,1. 完成企微客服接入小程序的准备工作，包括路径确定与后台 ID 账号绑定。
G-004,T-025 数字化办公系统切换与资产管理,T-025-02,T-025-02 数字与信息中心：电子资产盘点与维护,02A,GPU服务器与NAS服务器现有资产盘点,贾飞,2026-06-01,2026-12-31,"钱玉炀
贾飞
黎江艳",进行中,未完成对NAS服务器资产的盘点,,,暂时搁置 
G-004,T-025 数字化办公系统切换与资产管理,T-025-02,T-025-02 数字与信息中心：电子资产盘点与维护,02B,发布服务器使用规范，并产出配套台账和说明文件,贾飞,2026-05-15,2026-05-22,"钱玉炀
贾飞
黎江艳",进行中,,,,暂时搁置 
G-004,T-026 博士后工作站与创新实践基地建设,T-026-01,T-026-01 博士后工作站/创新实践基地在站博士各 2 位,01A,博后工作站人员资质、社保、工资条件符合,陈俊伊,2026-05-01,2026-12-31,"陈俊伊
殷银银",进行中,,,,
G-004,T-026 博士后工作站与创新实践基地建设,T-026-01,T-026-01 博士后工作站/创新实践基地在站博士各 2 位,01B,在站人员成果跟进，保证出站时满足要求；博士后相关制度持续关注,殷银银,2026-05-01,2026-12-31,"陈俊伊
殷银银",进行中,,,,江苏势通博士后（张典豪）项目受理发明专利1项，待预审发明专利1项；鸿禾博士后项目授权发明1项，待预审发明专利1项
G-004,T-027 AI工具赋能部门分析试点,T-027-01,T-027-01 AI 工具赋能各部门分析试点,01A,面向临床与注册事务部,"贾飞,季强",2026-04-01,2026-05-31,"季强
贾飞
钱玉炀",进行中,1.研发字段未纳入，未对图像做字段自动化。2.字段智能识别准确率问题3.软著材料未完成  ,,,1.完成前端UI优化和系统名称图标修订；2.完成功能更新：新增SSU进展和资料准备的资料项上传，关联以及状态互通，完成智能字段识别功能，对字段的一些检验和逻辑做约束。3.完成软著相关调研和部分材料补齐 
G-004,T-027 AI工具赋能部门分析试点,T-027-01,T-027-01 AI 工具赋能各部门分析试点,01B,面向研发,"季强,贾飞",2025-12-01,2026-12-31,"季强
贾飞
钱玉炀",进行中,,,,暂无
G-004,T-027 AI工具赋能部门分析试点,T-027-01,T-027-01 AI 工具赋能各部门分析试点,01C,面向组织与人才发展中心,"季强,贾飞",2025-12-01,2026-07-31,"季强
贾飞
钱玉炀",进行中,,,,1.完成任务跟踪表功能多轮调研，规划后续搭建统一任务管理系统；目前已完成初版规划，输出技术方案、PRD、README、Design 等文档，并搭建静态 Demo 展示原型。
G-004,T-027 AI工具赋能部门分析试点,T-027-01,T-027-01 AI 工具赋能各部门分析试点,01D,面向仓储与质检,"季强,贾飞",2026-05-01,2026-06-15,"季强
贾飞
钱玉炀",进行中,,,,1. 完成简易仓储与质检系统逻辑线确定及功能修改。
G-004,T-027 AI工具赋能部门分析试点,T-027-01,T-027-01 AI 工具赋能各部门分析试点,01E,面向数字与信息中心,"季强,贾飞",2026-03-01,2026-05-31,"季强
贾飞
钱玉炀",进行中,,,,暂无
G-004,T-027 AI工具赋能部门分析试点,T-027-01,T-027-01 AI 工具赋能各部门分析试点,01F,面向业务部门的AI沙龙活动,"季强,贾飞",2026-04-01,2026-12-31,"季强
贾飞
钱玉炀",进行中,,,,1.完成前两次沙龙活动参会及反馈情况梳理汇总，完成《AI 办公场景使用指引》多维表格内容补充（14个一级场景、170个任务）。
G-004,T-027 AI工具赋能部门分析试点,T-027-01,T-027-01 AI 工具赋能各部门分析试点,01G,面向公司的任务跟踪系统建设 ,贾飞,,,"季强
贾飞
钱玉炀",进行中,,,,1.多维表格作为过渡产品，一开始建立独立于飞书的系统接入飞书来完成全公司任务跟踪的需求
G-004,T-028 跨部门融合活动策划与执行,T-028-01,T-028-01 跨部门融合活动：联合团建策划与执行,01A,,,2026-01-01,2026-11-30,"陶雅静
陈俊伊",,,,,
G-001,T-029 LAVA,T-029-01,T-029-01 LAVA项目管理,01A,,,,,卢杨,,,,,
G-001,T-029 LAVA,T-029-02,T-029-02 LAVA BRINGUP,02A,TC1B 测试封装跟进。交付封装样片 12，供应商出厂检验/测试材料。,卢杨,2026-05-18,2026-06-01,卢杨,已完成,无,已完成封装工作，输出10片成片。,,
G-001,T-029 LAVA,T-029-02,T-029-02 LAVA BRINGUP,02B,TC1B 测试用 PCBA 设计制备。交付 PCBA 设计文档，PCBA 物料入库，PCBA 出厂/验收测试材料。,卢杨,2026-05-22,2026-06-04,卢杨,进行中,等待加工商贴片完成。,,,已完成制板，贴片进行中。
G-001,T-029 LAVA,T-029-02,T-029-02 LAVA BRINGUP,02C,TC1B Bringup 测试方案编制与审批,卢杨,2026-05-27,2026-06-06,卢杨,进行中,完成基带测试方案编写。,,,已完成射频测试方案编写。
G-001,T-029 LAVA,T-029-02,T-029-02 LAVA BRINGUP,02D,TC1B Bringup 测试。交付测试记录与测试报告。,卢杨,2026-06-06,2026-06-18,卢杨,未启动,,,,
G-001,T-029 LAVA,T-029-02,T-029-02 LAVA BRINGUP,02E,测试代码编写（MCU）,徐道杰,,,卢杨,未启动,,,,
G-001,T-029 LAVA,T-029-02,T-029-02 LAVA BRINGUP,02F,数字部分测试验证,徐道杰,,,卢杨,未启动,,,,
G-001,T-029 LAVA,T-029-02,T-029-02 LAVA BRINGUP,02G,阶段性相关资料、记录输出,"徐道杰,杨超,曾祥昇,卢杨",,,卢杨,未启动,,,,
G-001,T-029 LAVA,T-029-03,T-029-03 LAVA 正式封装,03A,,,,,卢杨,,,,,
G-001,T-029 LAVA,T-029-04,T-029-04 LAVA 封测开发,04A,,,,,卢杨,,,,,
G-001,T-029 LAVA,T-029-05,T-029-05 LAVA ENGINEERING TAPEOUT,05A,,,,,卢杨,,,,,
G-001,T-030 胶囊机器人工艺开发,T-030-01,T-030-01 胶囊机器人 工艺规划,01A,,,,,姚国华,,,,,
G-001,T-030 胶囊机器人工艺开发,T-030-02,T-030-02 胶囊机器人 设备开发,02A,胶囊机器人 1298 集成测试系统开发，满足最简操作要求，符合 YY/T 1298 胶囊式内窥镜相关测试规范和要求。交付设计材料，包括不限于：设计方案、图纸、操作说明、维护说明等。,雷万楼,2026-04-01,2026-05-30,姚国华,进行中,,,,（5.24-5.31）编写新版照度计操作规程，修改优化设计。（6.01-6.07）输出已确定组件相关设计文档，编写工装操作规程，寻找部分定制件合理加工方法
G-001,T-030 胶囊机器人工艺开发,T-030-02,T-030-02 胶囊机器人 设备开发,02B,完成胶囊机器1298 集成测试系统制作调试。交付可部署产线系统设备及相关文档。,雷万楼,2026-05-31,2026-06-21,姚国华,进行中,,,,1.讨论并寻找性价比高的测标的加工可行方案。当测标难以通过常规加工实现或定制成本极高时，优先启动备选方案：申请采购其他组件，并同步采用3D打印制作测标样件，用于原理性验证。3D打印测标成本较低，适合在早期阶段确认检测方案的可行性。
G-001,T-030 胶囊机器人工艺开发,T-030-02,T-030-02 胶囊机器人 设备开发,02C,胶囊机器人外壳焊接设备与工艺可行性验证。交付验证报告与工艺设备执行计划。,雷万楼,2026-05-01,2026-06-14,姚国华,未启动,,,,
G-004,T-031 质量体系运行有效,T-031-01,T-031-01 ISO13485:按照质量体系规范形成飞书自动化流程；制定iso13485/gmp培训计划并落实,01A,ISO13485:按照质量体系规范形成飞书自动化流程,"贺晓琴,姜宇,黎江艳,单春燕",2026-05-13,2026-07-31,"单春燕
黎江艳",进行中,质量体系部两个模块（如更改申请单、不合格品评审）待测试上线,,,完成质量体系部两个模块（如更改申请单、不合格品评审）审批初稿建立
G-004,T-031 质量体系运行有效,T-031-01,T-031-01 ISO13485:按照质量体系规范形成飞书自动化流程；制定iso13485/gmp培训计划并落实,01B,制定iso13485/gmp飞书自动化流程培训计划并落实（全员培训）,"贺晓琴,姜宇",2026-08-03,2026-08-31,"单春燕
黎江艳",未启动,/,,,
G-004,T-031 质量体系运行有效,T-031-02,T-031-02 ISO16949:审核通过；制定与实施培训计划,02A,ISO16949年度审核通过（26年10月）,贺晓琴,2026-05-01,2026-10-01,"单春燕
贺晓琴",未启动,/,,,
G-004,T-031 质量体系运行有效,T-031-02,T-031-02 ISO16949:审核通过；制定与实施培训计划,02B,ISO16949：鸿禾电子制定与实施培训计划,贺晓琴,2026-09-01,2026-09-30,"单春燕
贺晓琴",未启动,/,,,
G-001,T-032 采样胶囊机器人开发,T-032-01,T-032-01 知识产权工作,01A,采样胶囊机器人知识产权工作,胡筱箐,2026-04-01,2026-12-31,胡筱箐,进行中,,,,"2026/06/04 专利申请书二稿已确认，继续推进专利申请流程；
2026/06/02完成专利申请书初稿的审阅与批改：已按照代理老师批注要求完成附图的修改。同时针对申请书中部分内容（如1️⃣将实施例中胰液的采集、质检、检测等系统设置写在从属权利要求中，是否会缩小权利保护范围？2️⃣在实施例中将采样单元、定位单元等按示意图的物理排布进行注解，但这部分是可以按需调整的，建议以流路连接电连接的方式进行介绍。）修改批注的申请书初稿已提交给殷银银。"
G-001,T-032 采样胶囊机器人开发,T-032-02,T-032-02 采样模块设计与开发,02A,采样模块设计与开发,"杨超,刘智荣",,,"刘智荣
杨超",未启动,,,,
G-001,T-032 采样胶囊机器人开发,T-032-03,T-032-03 质检模块设计与开发,03A,质检模块设计与开发,胡筱箐,,,胡筱箐,进行中,项目需求书撰写工作尚未完成,,,2026/06/04 质检模块所需电化学传感器市场产品调研；为即将到岗的实习生制定实习工作计划。
G-001,T-032 采样胶囊机器人开发,T-032-04,T-032-04 检测模块设计与开发,04A,检测模块设计与开发,胡筱箐,,,胡筱箐,未启动,,,,
G-001,T-032 采样胶囊机器人开发,T-032-05,T-032-05 采样点识别图像算法开发,05A,采样点识别图像算法开发,张家瑞,,,张家瑞,未启动,,,,
